"Date","Price","Open","High","Low","Change %"
"05/13/1999","4.586","4.586","4.586","4.586","0.00%"
"05/12/1999","4.586","4.586","4.586","4.586","-0.24%"
"05/11/1999","4.597","4.597","4.597","4.597","0.22%"
"05/10/1999","4.587","4.587","4.587","4.587","1.68%"
"05/07/1999","4.511","4.511","4.511","4.511","-0.04%"
"05/06/1999","4.513","4.513","4.513","4.513","0.00%"
"05/05/1999","4.513","4.513","4.513","4.513","-0.02%"
"05/04/1999","4.514","4.514","4.514","4.514","0.00%"
"05/03/1999","4.514","4.514","4.514","4.514","-0.40%"
"04/30/1999","4.532","4.532","4.532","4.532","0.89%"
"04/29/1999","4.492","4.492","4.492","4.492","2.42%"
"04/28/1999","4.386","4.386","4.386","4.386","-0.07%"
"04/27/1999","4.389","4.389","4.389","4.389","0.64%"
"04/26/1999","4.361","4.361","4.361","4.361","-1.40%"
"04/23/1999","4.423","4.423","4.423","4.423","1.51%"
"04/22/1999","4.357","4.357","4.357","4.357","0.23%"
"04/21/1999","4.347","4.347","4.347","4.347","-0.48%"
"04/20/1999","4.368","4.368","4.368","4.368","0.65%"
"04/19/1999","4.340","4.340","4.340","4.340","0.37%"
"04/16/1999","4.324","4.324","4.324","4.324","0.44%"
"04/15/1999","4.305","4.305","4.305","4.305","0.47%"
"04/14/1999","4.285","4.285","4.285","4.285","0.12%"
"04/13/1999","4.280","4.280","4.280","4.280","-0.60%"
"04/12/1999","4.306","4.306","4.306","4.306","-1.31%"
"04/09/1999","4.363","4.363","4.363","4.363","-0.57%"
"04/08/1999","4.388","4.388","4.388","4.388","-0.25%"
"04/07/1999","4.399","4.399","4.399","4.399","-0.02%"
"04/06/1999","4.400","4.400","4.400","4.400","0.78%"
"04/05/1999","4.366","4.366","4.366","4.366","-1.20%"
"04/01/1999","4.419","4.419","4.419","4.419","-1.52%"
"03/31/1999","4.487","4.487","4.487","4.487","0.34%"
"03/30/1999","4.472","4.472","4.472","4.472","-0.20%"
"03/29/1999","4.481","4.481","4.481","4.481","-0.44%"
