"Date","Price","Open","High","Low","Vol.","Change %"
"07/10/2009","2.324","2.339","2.412","2.295","1.29M","-0.43%"
"07/09/2009","2.334","2.441","2.484","2.324","1.06M","-4.38%"
"07/08/2009","2.441","2.605","2.610","2.441","687.42K","-7.33%"
"07/07/2009","2.634","2.760","2.760","2.567","643.18K","-1.83%"
"07/06/2009","2.683","2.770","2.775","2.683","250.13K","-3.14%"
"07/03/2009","2.770","2.809","2.838","2.760","413.21K","-1.04%"
"07/02/2009","2.799","2.935","2.939","2.775","796.62K","-3.98%"
"07/01/2009","2.915","3.022","3.022","2.857","529.97K","-1.49%"
"06/30/2009","2.959","3.080","3.114","2.954","726.71K","-2.08%"
"06/29/2009","3.022","2.924","3.022","2.924","279.18K","2.79%"
"06/26/2009","2.940","2.948","3.022","2.916","160.40K","-0.98%"
"06/25/2009","2.969","3.022","3.022","2.899","208.70K","-0.13%"
"06/24/2009","2.973","2.883","3.001","2.879","163.59K","1.95%"
"06/23/2009","2.916","2.899","2.985","2.858","201.36K","-0.27%"
"06/22/2009","2.924","3.095","3.095","2.924","223.66K","-5.53%"
"06/19/2009","3.095","2.736","3.095","2.736","542.68K","10.81%"
"06/18/2009","2.793","2.809","2.838","2.736","233.71K","2.38%"
"06/17/2009","2.728","2.948","2.977","2.695","315.87K","-7.46%"
"06/16/2009","2.948","2.981","3.022","2.924","469.00K","-1.11%"
"06/15/2009","2.981","2.989","3.054","2.940","272.59K","0.27%"
"06/12/2009","2.973","3.136","3.169","2.973","399.45K","-4.19%"
"06/11/2009","3.103","3.014","3.201","3.014","495.01K","2.95%"
"06/10/2009","3.014","2.728","3.046","2.728","484.74K","11.18%"
"06/09/2009","2.711","2.687","2.760","2.687","153.11K","0.89%"
"06/08/2009","2.687","2.777","2.842","2.687","278.90K","-4.92%"
